,eRNA,log2FC,p_value,q_value,-log10qval,rejected,Tissue
26,ENSR00000046934,-1.8256564879143484,4.860354081059421e-08,5.953933749297791e-07,6.225196002150575,True,Kidney
27,ENSR00000151939,-1.7893608147032312,6.014640835116673e-08,7.204203133617526e-07,6.142414050077182,True,Kidney
28,ENSR00000151940,-1.759022084737379,7.410513371424908e-08,8.68318849390875e-07,6.061320771247744,True,Kidney
29,ENSR00000266522,-1.8077948071721253,8.089106112775387e-08,9.276655733587093e-07,6.032608560226683,True,Kidney
30,ENSR00000049248,-2.6448427745240677,9.056305342931947e-08,1.0169476208000666e-06,5.992701415399104,True,Kidney
31,14:105069641-105075641,-1.5563031605945272,1.9729999473219042e-07,2.0450903300125124e-06,5.689287504791311,True,Kidney
32,ENSR00000140259,-1.6191079454454727,1.7020150097540106e-06,1.2910009731971361e-05,4.889073430348617,True,Kidney
33,ENSR00000299552,-1.6206086050132416,1.7245282016733542e-06,1.2910009731971361e-05,4.889073430348617,True,Kidney
34,ENSR00000278918,-1.540127251699537,0.0004494859194853191,0.0014955117938431296,2.8252101577040136,True,Kidney
35,ENSR00000336446,-1.8905754098273135,0.0013314426686667606,0.0036802440944173538,2.4341233755267835,True,Kidney
36,ENSR00000336447,-1.5334181668950344,0.012024447344997814,0.02274097234720639,1.6431909699034215,True,Kidney
0,ENSR00000230179,-4.443853172186685,4.16615056716383e-20,3.7162063059101365e-17,16.429900184067176,True,Kidney
1,ENSR00000142545,-4.251739021098823,1.711954075790612e-19,7.032768117115297e-17,16.152873701812737,True,Kidney
2,ENSR00000241449,-4.873269604242107,2.365280756877342e-19,7.032768117115297e-17,16.152873701812737,True,Kidney
3,ENSR00000247261,-4.215125673250131,9.240323936208017e-19,1.751887430361149e-16,15.75649380338691,True,Kidney
4,ENSR00000282063,-2.5493682869270846,1.1324056983025968e-18,1.751887430361149e-16,15.75649380338691,True,Kidney
5,ENSR00000090018,-2.5326569129057477,1.1783996168348536e-18,1.751887430361149e-16,15.75649380338691,True,Kidney
6,ENSR00000223078,-3.069561002207245,1.4036850178141659e-18,1.7886957655574798e-16,15.747463521129411,True,Kidney
7,ENSR00000223716,-3.6432150590218337,1.6913686279893528e-18,1.8858760202081284e-16,15.724486861709675,True,Kidney
8,ENSR00000041252,-2.304577036984083,2.55125052120244e-18,2.5285727387917516e-16,15.597124548615774,True,Kidney
9,ENSR00000340736,-1.9908957409805168,3.3340471555833504e-18,2.973970062780349e-16,15.526663407580957,True,Kidney
10,ENSR00000223723,-3.2201071578737883,4.819105476257957e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
11,ENSR00000335475,-2.3860735357018084,4.5624144253401304e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
12,ENSR00000329967,-2.9524405165701144,5.272464574171804e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
13,ENSR00000013685,-1.7791916774545733,5.482411472507463e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
14,ENSR00000043747,-3.1734522801218192,5.7452631056724304e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
15,17:32393542-32399542,-2.506651416588242,5.190725947347559e-18,3.20298418141238e-16,15.494445206182347,True,Kidney
16,ENSR00000087542,-2.0619375040838825,6.139049431245421e-18,3.2211953486299506e-16,15.491982936695532,True,Kidney
17,17:32394871-32400871,-2.4361073591443922,8.092492242554461e-18,3.60925154017929e-16,15.442582849526797,True,Kidney
18,ENSR00000165132,-3.961864403975097,7.996868468802123e-18,3.60925154017929e-16,15.442582849526797,True,Kidney
19,ENSR00000042923,-4.1423318690851305,7.69388619901212e-18,3.60925154017929e-16,15.442582849526797,True,Kidney
20,12:68915131-68921131,-3.1880335787754213,8.813983443833183e-18,3.743844396142476e-16,15.426682209960914,True,Kidney
21,ENSR00000229546,-2.959277681591942,1.0133882406797111e-17,4.108828684937738e-16,15.386281965999565,True,Kidney
22,ENSR00000229547,-3.0834309992366227,1.1034539007081022e-17,4.279482084485335e-16,15.368608787402781,True,Kidney
23,ENSR00000118679,-1.720819293019586,1.1693578915850052e-17,4.3461134970576024e-16,15.361898936436521,True,Kidney
24,ENSR00000229548,-3.083294064257706,1.2487390609273488e-17,4.45550096938878e-16,15.35110345750608,True,Kidney
25,ENSR00000043746,-2.970026635047234,1.871199687580707e-17,6.419654312776887e-16,15.19248835730428,True,Kidney
26,ENSR00000160397,-2.704798041226102,1.9519430929200535e-17,6.448641625498843e-16,15.190531757718103,True,Kidney
27,ENSR00000322370,-3.2250538433913807,2.198444802724275e-17,7.003617014393047e-16,15.154677610887195,True,Kidney
28,ENSR00000122345,-3.6446792083133386,2.3371418728769554e-17,7.188726036573257e-16,15.143348067100892,True,Kidney
29,ENSR00000313729,-3.7606815616376257,2.5820263235495986e-17,7.67722493535414e-16,15.11479573479344,True,Kidney
30,12:68915402-68921402,-2.99467641281918,2.917931433038984e-17,8.396112381518625e-16,15.075921757042142,True,Kidney
31,ENSR00000211928,-2.1751522896641506,3.296873175253786e-17,8.911548097958718e-16,15.05004684456026,True,Kidney
32,11:96270891-96276891,-3.0654434638059564,3.296873175253786e-17,8.911548097958718e-16,15.05004684456026,True,Kidney
33,ENSR00000211927,-2.1769851376469935,3.4119350194276535e-17,8.951311874498432e-16,15.048113311264649,True,Kidney
34,ENSR00000323914,-5.040877774764952,3.7503328496859556e-17,9.557991148342491e-16,15.019633376015245,True,Kidney
35,12:68919551-68925551,-2.9060450738099783,4.62514727021128e-17,1.146008712507906e-15,14.940812080641122,True,Kidney
36,ENSR00000083753,-1.649068970237955,5.14328305195903e-17,1.2073180216703828e-15,14.918178316593275,True,Kidney
37,ENSR00000021139,-2.447692905462548,5.008614804543255e-17,1.2073180216703828e-15,14.918178316593275,True,Kidney
38,ENSR00000253769,-3.6373074247230974,5.4851458271605525e-17,1.2545513020069775e-15,14.901511574506417,True,Kidney
39,ENSR00000223079,-3.0198671553043432,6.261885193413938e-17,1.3964003981313081e-15,14.854990036035025,True,Kidney
40,ENSR00000151247,-2.673824840816697,7.706362265549085e-17,1.6766036928950692e-15,14.775569581597209,True,Kidney
41,ENSR00000175486,-2.6969807557933465,9.232313528110447e-17,1.9588482125049503e-15,14.707999215371004,True,Kidney
42,ENSR00000211858,-2.185214904198774,9.442878154452114e-17,1.9588482125049503e-15,14.707999215371004,True,Kidney
43,ENSR00000336446,-4.900220056868488,9.906254809874937e-17,2.0082680205473738e-15,14.697178327345176,True,Kidney
44,ENSR00000216273,-3.45449798304746,1.232433106212e-16,2.3898485450893565e-15,14.621629621276197,True,Kidney
45,ENSR00000232852,-2.1320366900897203,1.425984244412291e-16,2.7063360553526883e-15,14.567618276502795,True,Kidney
46,ENSR00000195824,-2.120318487695326,1.4692424267316022e-16,2.7303421763428942e-15,14.5637829221954,True,Kidney
47,ENSR00000246413,-1.5916865965604443,1.8376391363734853e-16,3.3452532849900997e-15,14.47557099415651,True,Kidney
48,ENSR00000341825,-1.542582040744184,1.89318318036623e-16,3.377438793773354e-15,14.47141251255533,True,Kidney
49,ENSR00000163987,-2.931453820181258,2.017619064373925e-16,3.52885530474812e-15,14.45236614884824,True,Kidney
50,ENSR00000177388,-2.462619925387043,2.313895958080735e-16,3.969221528092337e-15,14.401294661802519,True,Kidney
51,ENSR00000143205,-2.125531857891952,2.4920630936272418e-16,4.194189206633018e-15,14.377351981704917,True,Kidney
52,ENSR00000038731,-3.096950528665532,2.7417001644340155e-16,4.370838000715789e-15,14.359435289758117,True,Kidney
53,ENSR00000066199,-3.1656445648583156,2.7440238569516163e-16,4.370838000715789e-15,14.359435289758117,True,Kidney
54,ENSR00000170449,-2.635433681032663,2.683738399912213e-16,4.370838000715789e-15,14.359435289758117,True,Kidney
55,12:68916828-68922828,-2.67940761915695,3.567138302042208e-16,5.412950760629828e-15,14.266565923487919,True,Kidney
56,ENSR00000335161,-1.9824869269221819,3.580314964990581e-16,5.412950760629828e-15,14.266565923487919,True,Kidney
57,ENSR00000073564,-2.640434752837219,3.580314964990581e-16,5.412950760629828e-15,14.266565923487919,True,Kidney
58,ENSR00000198507,-2.5953308991908597,3.969462254331995e-16,5.901267218106899e-15,14.229054719419336,True,Kidney
59,ENSR00000042917,-2.6381775235834617,4.531552647711605e-16,6.6264671504241834e-15,14.17871795063034,True,Kidney
60,ENSR00000151246,-2.604974847999156,4.66673603755732e-16,6.714078299195369e-15,14.173013598341178,True,Kidney
61,ENSR00000151245,-2.559485686317634,5.152989767398993e-16,7.295979162730002e-15,14.136916415020142,True,Kidney
62,ENSR00000165133,-3.991565878633103,5.357186959280821e-16,7.466579324497646e-15,14.126878316623522,True,Kidney
63,ENSR00000085043,-1.8272227547074205,5.647559097478068e-16,7.75018879223144e-15,14.110687718083923,True,Kidney
64,5:141992694-141998694,-2.102489975907889,6.49019378106244e-16,8.771595231375297e-15,14.056921417217499,True,Kidney
65,ENSR00000325271,-2.681384293320192,6.6827018702445855e-16,8.896970251131599e-15,14.050757861583133,True,Kidney
66,ENSR00000325273,-2.703352136422008,6.982231382039658e-16,9.159044695263787e-15,14.038149821660891,True,Kidney
67,ENSR00000199891,-2.267081210393139,7.215520136140671e-16,9.194634230624969e-15,14.03646554263915,True,Kidney
68,ENSR00000325272,-2.705180300053805,7.136892215889383e-16,9.194634230624969e-15,14.03646554263915,True,Kidney
69,ENSR00000232853,-2.0511031768117234,7.962318880520058e-16,1.0003364002005482e-14,13.999853927817169,True,Kidney
70,ENSR00000097102,-2.4060826717323156,8.689649072187085e-16,1.0765509683876223e-14,13.967965404051828,True,Kidney
71,2:34684326-34690326,-2.84788627921618,9.833343499357579e-16,1.2015537536201315e-14,13.920256795498108,True,Kidney
72,ENSR00000199892,-2.2293322152905444,1.096515404158626e-15,1.3041223206793256e-14,13.884681671867426,True,Kidney
73,ENSR00000336447,-4.686459526755336,1.313366606336803e-15,1.501952580580036e-14,13.823343778595177,True,Kidney
74,ENSR00000097103,-2.4434516612686963,1.2860366157836955e-15,1.501952580580036e-14,13.823343778595177,True,Kidney
75,ENSR00000197050,-2.5341099715015547,1.5352188681215074e-15,1.7334370004612463e-14,13.761091937595255,True,Kidney
76,14:65054944-65060944,-1.5869454834856098,1.5744944822750528e-15,1.755561347736684e-14,13.755583989600511,True,Kidney
77,ENSR00000247823,-2.4957281193795207,1.6382244649970301e-15,1.7605978587678925e-14,13.75433983066664,True,Kidney
78,ENSR00000329966,-1.8731897017480108,1.6031547067266057e-15,1.7605978587678925e-14,13.75433983066664,True,Kidney
79,ENSR00000210351,-1.5094074880908266,1.6205950071859019e-15,1.7605978587678925e-14,13.75433983066664,True,Kidney
80,ENSR00000216272,-2.6293536557743735,1.6620229671495982e-15,1.76491010321124e-14,13.75327741077111,True,Kidney
81,ENSR00000328842,-1.6317397875901762,1.7417429317691691e-15,1.8278055236918812e-14,13.738070014554342,True,Kidney
82,ENSR00000197051,-2.4746682077631776,1.89211828860803e-15,1.962522690044608e-14,13.707185313383116,True,Kidney
83,ENSR00000220407,-2.9015139821873244,1.968485426559552e-15,2.018263218955311e-14,13.695022194350281,True,Kidney
84,ENSR00000282730,-2.8650574460442195,2.1226862198231674e-15,2.1516319410025743e-14,13.667232017235424,True,Kidney
85,ENSR00000284134,-2.3688391082405635,2.372423156380006e-15,2.377754444371871e-14,13.623832997892581,True,Kidney
86,ENSR00000133401,-2.2468264850958777,2.4155340571018604e-15,2.394062643260955e-14,13.620864489992003,True,Kidney
87,ENSR00000006725,-2.864594320083513,2.4956579331987063e-15,2.419703126536137e-14,13.6162379143568,True,Kidney
88,ENSR00000297000,-2.2267076130565937,2.5949790400608776e-15,2.4889476384239816e-14,13.603984239824806,True,Kidney
89,ENSR00000002510,-2.197026348446538,2.7577785165749047e-15,2.562435871650849e-14,13.591346994594401,True,Kidney
90,20:337919-343919,-2.243014923076112,2.8176061002229474e-15,2.5910357127823394e-14,13.586526601002051,True,Kidney
91,2:190942782-190948782,-2.488704962398529,3.1030352599945715e-15,2.8243953590970997e-14,13.54907451078729,True,Kidney
92,5:55432372-55438372,-2.7880924833146303,3.3207695388932623e-15,2.96212642869279e-14,13.52839640897759,True,Kidney
93,ENSR00000220408,-2.7665630640356516,3.4168863203511268e-15,3.017685740349708e-14,13.520325989324608,True,Kidney
94,ENSR00000115683,-1.7853211549166723,3.503234294903481e-15,3.0636127363273576e-14,13.513766133656157,True,Kidney
95,7:45202193-45208193,-2.2864005606062103,3.695556896863423e-15,3.1845041467113144e-14,13.496958181260132,True,Kidney
96,ENSR00000212626,-3.0650535062419144,3.9120846375432665e-15,3.292056128951504e-14,13.482532768755604,True,Kidney
97,1:65048999-65054999,-2.215752138985216,4.0827793314897936e-15,3.403588003447566e-14,13.46806301576085,True,Kidney
98,ENSR00000262495,-2.38373656350527,4.542004746467163e-15,3.751359475785842e-14,13.425811317382236,True,Kidney
99,ENSR00000030704,-1.7715054984757483,5.215737828913505e-15,4.221188836230843e-14,13.374565219108652,True,Kidney
100,ENSR00000295787,-2.7611398916012315,5.1765245062139425e-15,4.221188836230843e-14,13.374565219108652,True,Kidney
101,ENSR00000092917,-1.9874995785055063,5.252824672888157e-15,4.221188836230843e-14,13.374565219108652,True,Kidney
102,ENSR00000170450,-2.5899562807823204,6.5173840026735706e-15,5.1906308307007365e-14,13.284779858019798,True,Kidney
103,3:193825696-193831696,-2.826399441365334,7.040117410242331e-15,5.5085830964352273e-14,13.258960094892787,True,Kidney
104,5:55431213-55437213,-2.6500519755133727,7.69197737440417e-15,5.91486536031769e-14,13.228055136739615,True,Kidney
105,ENSR00000166139,-2.32282766442931,7.801066038975459e-15,5.947479407492401e-14,13.225667052986013,True,Kidney
106,ENSR00000045535,-2.802767025172739,1.03683365773445e-14,7.771895989068315e-14,13.109473020176726,True,Kidney
107,ENSR00000266090,-2.7996090458579803,1.1597580464473413e-14,8.62086814525857e-14,13.064448997317905,True,Kidney
108,ENSR00000212182,-1.8603926870487002,1.217945990501015e-14,8.978577053941366e-14,13.046792485892606,True,Kidney
109,ENSR00000263062,-1.535539978762071,1.3714868116553915e-14,1.0027592098332862e-13,12.998803340554087,True,Kidney
110,2:104844124-104850124,-2.1845812729932605,1.4911650981651328e-14,1.0726768286800793e-13,12.969531100644552,True,Kidney
111,ENSR00000262508,-2.2112349483228386,1.6324577875864027e-14,1.1649218772216571e-13,12.933703198611507,True,Kidney
112,ENSR00000201131,-2.134441435984336,1.9354118712664254e-14,1.3701487215632156e-13,12.863232290180278,True,Kidney
113,ENSR00000091712,-1.9944467228130642,2.0316977808193378e-14,1.4269877326699602e-13,12.845579760351816,True,Kidney
114,ENSR00000037509,-1.537495358202488,2.0815911326498265e-14,1.4493733358501489e-13,12.838819732668398,True,Kidney
115,2:210068056-210074056,-2.0250454678968333,2.096066819783287e-14,1.4493733358501489e-13,12.838819732668398,True,Kidney
116,ENSR00000209742,-2.3836131440137227,2.200206601105799e-14,1.5096802216818252e-13,12.821115034605137,True,Kidney
117,ENSR00000147864,-1.611770203862734,3.1504704080848035e-14,2.1129470706854474e-13,12.675111381886234,True,Kidney
118,ENSR00000262509,-2.128953612853533,3.728327091119049e-14,2.4818416158792477e-13,12.605225937399924,True,Kidney
119,3:61679248-61685248,-2.7155225362107354,4.006809150143395e-14,2.647462045872525e-13,12.577170257239846,True,Kidney
120,ENSR00000092878,-2.0149088192252527,5.795517237709665e-14,3.801177482380163e-13,12.420081852096756,True,Kidney
121,ENSR00000170451,-2.186616216257247,6.016765295982565e-14,3.917485141617845e-13,12.40699264206438,True,Kidney
122,ENSR00000049060,-2.9367697137377498,6.331683894354965e-14,4.060580145281705e-13,12.391411913246687,True,Kidney
123,ENSR00000153769,-2.186195866843209,6.375051296760563e-14,4.060580145281705e-13,12.391411913246687,True,Kidney
124,ENSR00000182881,-2.8513319654490368,6.353470877437649e-14,4.060580145281705e-13,12.391411913246687,True,Kidney
125,ENSR00000309925,-1.6533470557016512,6.640621666064529e-14,4.1685486626648525e-13,12.380015124284864,True,Kidney
126,ENSR00000145514,-2.1582556701972697,6.754434919726713e-14,4.1685486626648525e-13,12.380015124284864,True,Kidney
127,ENSR00000099694,-2.052618594993418,6.731495439774025e-14,4.1685486626648525e-13,12.380015124284864,True,Kidney
128,ENSR00000252454,-2.295309635046845,6.776228207246677e-14,4.1685486626648525e-13,12.380015124284864,True,Kidney
129,ENSR00000153457,-2.752546282588683,7.155910575818454e-14,4.3719672833082613e-13,12.359323096661003,True,Kidney
130,ENSR00000148945,-1.7275183575323019,7.580830479865335e-14,4.568987018945864e-13,12.340180075826586,True,Kidney
131,ENSR00000099695,-2.054568512240993,7.684360204336794e-14,4.60030154514659e-13,12.33721369981821,True,Kidney
132,13:22881603-22887603,-3.1738624735121306,8.477629261393917e-14,5.041363534108916e-13,12.297451984338297,True,Kidney
133,ENSR00000160143,-2.6893938342180146,1.0921770588113918e-13,6.40935484513001e-13,12.193185683632684,True,Kidney
134,ENSR00000213403,-1.643578151623997,1.1032792876605844e-13,6.43219035681857e-13,12.191641111384515,True,Kidney
135,5:87320506-87326506,-2.0845590753864762,1.3320034971381947e-13,7.665465286756578e-13,12.115461478730287,True,Kidney
136,ENSR00000135365,-1.879921119614417,1.4197359923710495e-13,8.117977597403693e-13,12.090552151508186,True,Kidney
137,ENSR00000045534,-2.521103166754653,1.5233084929384408e-13,8.654720864338147e-13,12.062746934609217,True,Kidney
138,20:19898008-19904008,-1.8248673184961763,1.656321769931223e-13,9.350879865687663e-13,12.029147522514148,True,Kidney
139,ENSR00000135364,-1.837161150214049,1.8995659626531817e-13,1.0429732552375342e-12,11.981726827960506,True,Kidney
140,1:39047635-39053635,-1.9687167785704214,1.8869255552388172e-13,1.0429732552375342e-12,11.981726827960506,True,Kidney
141,ENSR00000086044,-2.9025408110599735,1.9058816211179158e-13,1.0429732552375342e-12,11.981726827960506,True,Kidney
142,ENSR00000168729,-2.8921025849718984,1.8995590741524728e-13,1.0429732552375342e-12,11.981726827960506,True,Kidney
143,ENSR00000295788,-2.2404213445873586,2.0233250165925712e-13,1.1004914114637643e-12,11.958413342450433,True,Kidney
144,ENSR00000026654,-1.8378360471688415,2.177819458335961e-13,1.1632424891231598e-12,11.934329742957942,True,Kidney
145,ENSR00000001590,-1.523321706683428,2.1561675573001618e-13,1.1632424891231598e-12,11.934329742957942,True,Kidney
146,ENSR00000180753,-1.902719011672637,2.177819458335961e-13,1.1632424891231598e-12,11.934329742957942,True,Kidney
147,ENSR00000092918,-1.6963184549181138,2.2440593836879165e-13,1.1844384439346873e-12,11.926487504932064,True,Kidney
148,ENSR00000088188,-1.9384536964786887,2.2590462892925502e-13,1.1853348764993852e-12,11.926158937020983,True,Kidney
149,ENSR00000094549,-1.7296325051463495,2.606124383158422e-13,1.359452017413633e-12,11.866636116462091,True,Kidney
150,6:166979007-166985007,-1.7090340413305036,2.721004490244358e-13,1.4111255844755625e-12,11.8504343340715,True,Kidney
151,ENSR00000088720,-2.3330972800390315,2.888321198884579e-13,1.4892384447428002e-12,11.827035760981616,True,Kidney
152,ENSR00000091711,-1.853199412218339,2.907524422617182e-13,1.490524014353176e-12,11.826661022504846,True,Kidney
153,ENSR00000143242,-2.2905551783738325,3.065721301028647e-13,1.5537632957486098e-12,11.808615142021708,True,Kidney
154,ENSR00000129632,-1.8813049392355274,3.6405704116033946e-13,1.8243757343540608e-12,11.73888571285415,True,Kidney
155,ENSR00000029395,-1.7684839906250955,3.863224629502168e-13,1.9251376366010803e-12,11.71553821541287,True,Kidney
156,ENSR00000066668,-2.0517411351985886,3.9664409715196233e-13,1.9547322356881236e-12,11.708912724982943,True,Kidney
157,ENSR00000075569,-1.938534361461799,4.599439777363602e-13,2.2542309238507326e-12,11.647001596800504,True,Kidney
158,ENSR00000177500,-2.217449206118699,5.058781747743159e-13,2.4524537554620063e-12,11.610399173117035,True,Kidney
159,ENSR00000292028,-2.0743116859866126,5.058873217544946e-13,2.4524537554620063e-12,11.610399173117035,True,Kidney
160,5:1562421-1568421,-1.7578423235036227,9.742833519779002e-13,4.672369623463909e-12,11.330462808215618,True,Kidney
161,ENSR00000128820,-1.5910470583838332,9.998687144519755e-13,4.769427236851134e-12,11.321533772492492,True,Kidney
162,14:103262216-103268216,-1.9765335289927377,1.0194708101223571e-12,4.837063631006078e-12,11.315418199480874,True,Kidney
163,22:32822547-32828547,-1.906003777697502,1.130688373046216e-12,5.336370522524998e-12,11.272754023487792,True,Kidney
164,ENSR00000266089,-2.350133847495549,1.2906874316486794e-12,6.0594378370032734e-12,11.21756766553871,True,Kidney
165,ENSR00000325274,-1.9507700535213515,1.3854931650878176e-12,6.4367703294704855e-12,11.191331986664583,True,Kidney
166,ENSR00000186834,-1.8986274829071834,1.6270984508713056e-12,7.520061234078781e-12,11.123778623036783,True,Kidney
167,1:205554617-205560617,-2.247284129581389,1.7914054749434772e-12,8.23677156520403e-12,11.084242978370698,True,Kidney
168,ENSR00000010575,-1.6739847996692363,1.8556653523132268e-12,8.488479457761018e-12,11.071170098006437,True,Kidney
169,ENSR00000254632,-2.085986894157799,1.8856076245166187e-12,8.581438780963388e-12,11.066439891376474,True,Kidney
170,17:29740603-29746603,-1.5565678947900816,1.9345055049292685e-12,8.759283809121357e-12,11.05753140187553,True,Kidney
171,ENSR00000222533,-1.9722694870857163,2.0101930353249097e-12,9.056021149039493e-12,11.0430625719221,True,Kidney
172,ENSR00000301681,-1.8922320974881401,2.0821216119735183e-12,9.332927024524514e-12,11.029982129968294,True,Kidney
173,ENSR00000032190,-2.7170095790992144,2.226507191456226e-12,9.930222073894767e-12,11.003041039078774,True,Kidney
174,ENSR00000310932,-1.6499258331250812,2.411256065474507e-12,1.0647724803976535e-11,10.972743181956643,True,Kidney
175,ENSR00000168730,-2.4897143116926714,2.481375251118331e-12,1.0849934921556624e-11,10.964572866727305,True,Kidney
176,ENSR00000135034,-2.5531976509364127,2.493931284713727e-12,1.0851642468120217e-11,10.9645045234877,True,Kidney
177,ENSR00000143022,-2.356880823200809,2.6110048365492856e-12,1.1305904437873605e-11,10.946694689694896,True,Kidney
178,ENSR00000212229,-1.6358597763422473,2.8996821425626354e-12,1.2454546132067085e-11,10.904672094376396,True,Kidney
179,ENSR00000015443,-2.9898132557104335,2.908903510865346e-12,1.2454546132067085e-11,10.904672094376396,True,Kidney
180,ENSR00000092919,-1.5435777618086273,2.96483704900688e-12,1.259349832244827e-11,10.89985361134617,True,Kidney
181,ENSR00000170452,-1.8794135091859983,3.2400771907905657e-12,1.3676053046017987e-11,10.86403922335159,True,Kidney
182,ENSR00000115040,-1.861866226775731,3.2503623831343197e-12,1.3676053046017987e-11,10.86403922335159,True,Kidney
183,ENSR00000258359,-2.8831804364838027,3.484563581330583e-12,1.459263246266141e-11,10.835866355750076,True,Kidney
184,ENSR00000045533,-2.2551100178261083,3.7005185065247e-12,1.5424591158037536e-11,10.811786338488329,True,Kidney
185,5:87318918-87324918,-1.6666485355141638,4.49962434641632e-12,1.849615169125971e-11,10.732918621494486,True,Kidney
186,ENSR00000294629,-1.5004148376685698,5.167015589209329e-12,2.0949899570794188e-11,10.67881805460482,True,Kidney
187,ENSR00000010062,-2.3308009846361237,6.72127626189486e-12,2.688510504757944e-11,10.570488262274273,True,Kidney
188,ENSR00000013533,-1.5042176933907185,7.830680338001571e-12,3.077077912553921e-11,10.511861507144204,True,Kidney
189,1:46325179-46331179,-2.589740998964284,7.806336526860115e-12,3.077077912553921e-11,10.511861507144204,True,Kidney
190,ENSR00000050878,-1.8728084293477527,1.0132545954586921e-11,3.912654108870793e-11,10.40752854342272,True,Kidney
191,ENSR00000132475,-1.7773484923142402,1.1609498104869427e-11,4.4636518575618665e-11,10.350309685539099,True,Kidney
192,ENSR00000025054,-2.7183424272002816,1.2348388456047611e-11,4.72736588102767e-11,10.32538078357353,True,Kidney
193,ENSR00000027731,-1.5202450494603552,1.2814153238756567e-11,4.884711405543102e-11,10.311161089812666,True,Kidney
194,ENSR00000234710,-1.6962905308374008,1.3754762149487496e-11,5.198833829382562e-11,10.284094063723476,True,Kidney
195,ENSR00000154577,-2.141134531495848,1.4272023154066864e-11,5.371580022543309e-11,10.26989795002827,True,Kidney
196,13:43058818-43064818,-2.002104534864376,1.4493120808421616e-11,5.431875529879026e-11,10.265050190367106,True,Kidney
197,ENSR00000026653,-1.6410550753651139,1.471758696233435e-11,5.4929236696243676e-11,10.260196435948833,True,Kidney
198,ENSR00000256319,-2.091658099329637,1.705312260020092e-11,6.259829365999679e-11,10.203437504874994,True,Kidney
199,ENSR00000279703,-1.996604141119625,1.7854692863565133e-11,6.527207391106598e-11,10.185272588103429,True,Kidney
